sleep_duration,bedtime_hour,wake_hour,caffeine_intake,exercise_duration,screen_time,stress_level,mood,sleep_interruptions,water_intake,daily_steps,age,gender,bmi,sleep_quality
7.57,22.29,5.86,Low,19.4,0.0,8,Neutral,Yes,2.53,5286,19,Male,23.2,Average
4.91,1.96,6.87,High,2.1,75.7,7,Sad,No,2.38,9899,23,Female,17.6,Poor
6.77,2.0,8.77,Low,20.9,132.4,2,Neutral,No,2.4,8142,46,Male,17.9,Good
3.95,22.67,2.62,Moderate,59.7,98.6,4,Neutral,No,2.07,11637,44,Male,23.5,Poor
4.77,0.35,5.12,None,12.6,177.7,6,Sad,No,2.27,7262,54,Female,18.9,Poor
6.76,1.94,8.7,Moderate,8.8,136.1,3,Sad,Yes,2.05,3888,51,Male,30.9,Poor
7.46,22.93,6.39,High,3.9,60.6,4,Neutral,Yes,0.93,10531,35,Female,16.3,Poor
6.72,23.19,5.91,None,4.1,91.2,2,Happy,No,4.04,5270,59,Male,20.7,Good
6.35,22.63,4.98,None,14.2,87.9,8,Anxious,No,2.71,7886,27,Male,23.6,Poor
6.11,21.98,4.09,Low,22.6,18.8,9,Neutral,No,1.51,7557,55,Male,22.2,Average
4.58,22.53,3.11,None,2.1,47.7,8,Happy,No,2.36,7137,61,Female,19.6,Poor
5.56,21.66,3.22,Moderate,70.2,64.8,6,Happy,Yes,1.26,6491,34,Female,20.1,Average
5.9,23.55,5.45,High,35.2,0.0,9,Sad,No,1.85,2044,30,Male,20.0,Poor
7.87,22.35,6.22,Low,22.1,92.1,1,Happy,Yes,1.16,3994,59,Female,22.5,Average
6.95,23.85,6.8,Low,44.1,78.8,6,Anxious,Yes,2.16,10366,44,Female,30.3,Poor
4.21,21.17,1.38,Low,2.1,14.7,6,Happy,Yes,1.09,8286,19,Male,23.8,Poor
6.92,24.0,6.92,Moderate,16.2,108.2,10,Sad,No,2.47,12728,51,Female,27.6,Poor
6.0,0.75,6.75,None,24.9,122.2,4,Neutral,Yes,2.68,3887,48,Female,25.3,Poor
5.62,20.51,2.13,Moderate,44.1,100.2,8,Neutral,No,1.62,6908,40,Female,27.4,Poor
7.3,0.06,7.36,Moderate,38.3,75.4,10,Anxious,No,2.31,10490,24,Male,15.0,Poor
7.84,1.34,9.18,Moderate,8.1,116.6,2,Neutral,No,1.58,5303,55,Male,22.4,Good
7.71,21.69,5.4,None,70.7,120.6,3,Neutral,No,2.56,5544,50,Female,28.1,Good
5.41,2.0,7.41,Moderate,3.3,103.8,0,Happy,No,1.72,6120,29,Male,21.5,Good
6.1,0.13,6.23,None,52.0,52.9,5,Happy,Yes,2.75,5664,62,Female,29.7,Average
6.93,22.44,5.37,None,88.5,102.4,3,Happy,No,0.93,8595,29,Male,28.7,Good
7.77,23.42,7.19,High,4.9,143.8,0,Neutral,No,1.5,1659,36,Female,21.9,Good
5.88,0.34,6.22,Moderate,32.0,63.2,1,Happy,No,1.42,11928,26,Male,21.7,Good
6.26,23.61,5.87,None,1.0,184.4,2,Happy,No,2.34,4121,27,Female,20.0,Good
5.06,0.31,5.37,None,13.0,66.3,8,Neutral,No,2.59,648,34,Male,21.3,Poor
4.94,22.12,3.06,None,18.2,91.5,7,Neutral,No,2.4,6969,57,Female,19.2,Poor
7.56,23.75,7.31,Low,21.7,59.7,6,Sad,No,1.84,5868,56,Male,25.0,Average
8.26,21.38,5.64,None,68.7,100.0,10,Happy,No,0.5,6466,58,Male,18.4,Good
6.41,23.33,5.74,None,27.9,11.6,3,Happy,No,2.23,7938,27,Male,25.6,Good
7.8,22.14,5.94,Low,16.4,65.4,0,Anxious,No,2.75,8935,29,Female,25.7,Good
6.97,22.4,5.37,Moderate,41.5,40.9,7,Happy,No,4.08,12060,32,Female,17.7,Good
5.66,1.35,7.01,Moderate,75.2,96.1,3,Anxious,No,1.9,4930,48,Female,28.9,Average
6.97,1.14,8.11,Moderate,0.6,134.8,2,Anxious,No,1.73,9323,32,Male,25.3,Average
8.5,0.41,8.91,None,101.2,119.1,8,Sad,No,2.42,9127,45,Female,26.1,Average
6.45,21.86,4.31,High,2.3,0.0,9,Happy,No,2.02,500,21,Male,20.8,Poor
8.53,23.03,7.56,Moderate,42.1,181.9,3,Sad,Yes,3.09,4500,53,Male,25.7,Average
3.09,1.32,4.41,Moderate,8.2,103.3,3,Sad,No,1.63,3139,18,Male,27.4,Poor
7.57,23.71,7.28,Moderate,3.5,55.1,8,Neutral,No,2.03,8344,61,Female,23.2,Average
6.61,2.0,8.61,High,14.5,97.1,10,Happy,Yes,2.81,8013,51,Male,30.5,Poor
6.11,0.09,6.2,Low,25.8,97.9,1,Happy,No,2.42,8074,64,Female,23.7,Good
6.62,23.79,6.41,None,12.0,60.0,4,Happy,No,3.01,6083,34,Female,27.5,Good
3.92,23.04,2.96,Moderate,1.4,98.9,3,Neutral,No,1.89,6386,56,Male,24.5,Average
6.21,23.7,5.91,Moderate,22.9,62.7,8,Neutral,Yes,3.08,6914,55,Female,25.5,Poor
6.96,23.27,6.23,Moderate,58.2,71.8,4,Neutral,No,1.04,5797,61,Male,17.7,Good
8.42,0.56,8.98,Low,12.1,59.1,8,Neutral,No,1.06,9332,50,Male,24.8,Good
5.83,0.94,6.77,None,6.1,25.5,10,Neutral,No,3.1,3791,38,Female,20.9,Poor
5.45,22.32,3.77,Low,14.6,96.6,8,Neutral,Yes,2.21,4655,43,Male,20.5,Poor
5.85,21.5,3.35,High,1.2,116.3,1,Anxious,No,2.84,7364,63,Male,29.6,Poor
7.69,20.75,4.44,Moderate,42.9,113.2,8,Happy,No,2.27,5896,53,Male,22.8,Average
6.93,0.26,7.19,Low,43.8,126.9,2,Neutral,No,2.2,3674,22,Female,20.0,Good
5.81,21.84,3.65,Low,22.2,104.6,3,Happy,No,1.27,8596,50,Female,22.2,Average
7.17,20.27,3.44,Low,10.9,66.0,0,Neutral,No,2.18,5283,18,Female,18.9,Average
6.63,0.08,6.71,High,40.2,127.8,0,Sad,No,3.15,4466,23,Male,28.5,Average
7.76,2.0,9.76,Moderate,20.2,28.9,0,Anxious,No,2.24,6477,54,Male,21.1,Good
5.59,23.49,5.08,Moderate,43.7,49.5,8,Happy,No,2.68,4320,19,Female,25.4,Average
6.07,0.76,6.83,Low,25.0,46.6,10,Anxious,No,2.66,6897,22,Female,28.2,Poor
5.99,23.62,5.61,Moderate,38.4,138.6,7,Happy,No,1.49,5921,43,Female,21.7,Poor
4.6,23.35,3.95,None,22.8,132.4,4,Neutral,Yes,2.8,5462,58,Female,25.4,Poor
6.88,0.88,7.76,Moderate,13.4,111.9,4,Happy,No,1.98,5481,64,Female,19.9,Average
6.84,23.06,5.9,Low,79.2,138.2,8,Anxious,Yes,2.02,9987,30,Male,32.1,Poor
6.51,23.9,6.41,Low,19.5,50.4,2,Neutral,Yes,3.67,8108,29,Female,26.8,Average
6.2,23.98,6.18,Moderate,23.2,105.7,2,Neutral,No,2.62,1872,22,Male,22.8,Average
4.66,22.5,3.16,High,6.2,84.4,6,Sad,No,1.75,9649,19,Male,20.8,Poor
5.95,0.99,6.94,None,24.6,128.1,8,Happy,No,2.25,8550,21,Male,23.1,Poor
6.05,23.24,5.29,Moderate,21.2,84.8,5,Happy,No,2.23,8373,44,Male,22.3,Good
5.46,22.37,3.83,Low,5.1,72.7,1,Anxious,No,3.38,9664,27,Female,30.3,Average
6.29,0.3,6.59,Low,1.5,114.3,0,Happy,No,2.23,7045,30,Male,19.2,Average
7.03,22.15,5.18,None,23.2,129.4,1,Happy,No,3.75,8860,61,Female,24.0,Good
8.95,23.54,8.49,Low,36.1,59.9,0,Neutral,No,1.29,5607,19,Male,23.4,Good
6.73,23.49,6.22,Low,18.5,87.3,9,Neutral,No,2.18,9543,43,Female,23.1,Average
6.83,1.13,7.96,None,6.4,42.4,9,Happy,No,1.67,7654,32,Female,23.1,Average
6.4,0.21,6.61,Low,27.5,0.0,8,Happy,No,1.85,2869,63,Male,23.1,Good
4.01,23.46,3.47,High,2.1,99.0,9,Happy,Yes,1.87,10109,27,Female,26.6,Poor
6.47,0.73,7.2,None,14.6,117.4,7,Neutral,Yes,1.7,6613,39,Male,25.6,Average
6.58,1.59,8.17,Moderate,4.5,101.8,6,Anxious,Yes,3.41,6196,57,Female,25.0,Poor
9.7,0.34,10.04,Low,5.1,2.3,2,Anxious,Yes,3.2,5672,42,Male,15.0,Average
6.25,23.52,5.77,Moderate,5.7,74.2,7,Neutral,No,2.48,5892,32,Male,24.5,Average
6.89,21.53,4.42,Low,12.2,0.0,1,Happy,Yes,1.87,7689,30,Female,17.7,Good
6.45,21.9,4.35,None,1.3,151.6,1,Anxious,Yes,1.72,4037,25,Female,25.8,Average
4.98,23.04,4.02,None,12.7,41.1,10,Neutral,Yes,2.72,2294,38,Male,28.7,Poor
7.99,22.59,6.58,None,17.9,146.5,9,Happy,Yes,2.41,3807,38,Male,20.3,Good
7.48,23.22,6.7,None,16.5,132.6,2,Anxious,Yes,2.1,8145,39,Female,22.6,Average
7.53,23.58,7.11,Moderate,12.1,49.5,6,Sad,No,2.58,6514,63,Male,21.4,Good
5.32,0.29,5.61,High,45.7,39.0,0,Sad,No,2.82,10340,50,Male,27.8,Poor
8.32,23.39,7.71,Moderate,3.9,105.8,7,Sad,Yes,2.09,6805,62,Male,23.8,Poor
4.68,0.23,4.91,Moderate,17.6,52.0,6,Happy,No,1.65,9528,44,Female,29.5,Poor
7.26,23.6,6.86,None,1.6,94.6,3,Happy,No,1.28,4922,57,Male,24.9,Good
9.35,20.54,5.89,Low,1.8,68.3,4,Neutral,Yes,2.38,5695,39,Male,24.3,Average
5.21,22.09,3.3,Low,21.3,9.8,9,Happy,No,3.72,7029,47,Female,23.7,Average
5.76,23.28,5.04,None,20.9,0.0,0,Neutral,No,1.42,6559,26,Male,26.4,Good
6.63,21.69,4.32,Low,52.6,100.2,3,Sad,No,2.97,6279,62,Male,17.4,Average
5.85,0.4,6.25,Low,20.4,64.7,0,Sad,No,1.73,4384,52,Male,23.8,Good
4.48,1.8,6.28,Low,80.3,65.1,0,Neutral,Yes,1.87,2243,35,Male,23.3,Poor
6.59,1.33,7.92,Low,1.2,121.3,9,Sad,No,2.84,8893,59,Female,26.0,Poor
5.12,23.18,4.3,Moderate,2.6,142.8,0,Sad,No,2.02,8558,22,Male,22.8,Average
7.12,1.74,8.86,Moderate,1.1,77.7,6,Neutral,No,2.37,5158,44,Male,19.9,Average
5.3,23.72,5.02,Low,5.1,74.7,6,Happy,Yes,2.36,8137,23,Male,23.5,Poor
8.51,22.99,7.5,High,19.5,112.5,3,Happy,No,1.73,6501,49,Male,19.7,Good
5.48,22.58,4.06,High,25.9,28.9,1,Happy,No,2.83,10319,25,Male,16.8,Average
6.08,23.05,5.13,Low,1.2,100.0,2,Happy,No,2.16,3063,56,Female,26.0,Good
7.56,22.92,6.48,Low,73.0,114.8,7,Happy,Yes,1.23,6620,38,Female,25.5,Average
4.9,23.76,4.66,Low,46.2,120.6,7,Happy,No,1.58,6380,35,Male,25.1,Poor
6.8,23.74,6.54,High,8.8,2.8,10,Neutral,No,0.5,7483,31,Male,28.1,Average
8.2,23.5,7.7,High,2.0,55.7,10,Anxious,No,2.24,11611,32,Female,21.2,Average
4.41,0.16,4.57,None,4.7,50.5,5,Happy,No,3.11,6629,59,Female,18.5,Average
6.74,1.29,8.03,Low,3.4,94.5,9,Sad,No,1.47,9229,43,Female,23.3,Poor
6.84,0.92,7.76,Moderate,3.3,111.6,8,Neutral,No,2.61,6557,61,Male,22.3,Average
7.52,21.27,4.79,Low,18.3,157.4,10,Happy,No,2.5,10213,49,Male,20.6,Average
4.89,20.0,0.89,None,7.1,67.7,8,Anxious,No,1.67,9259,56,Male,23.2,Poor
4.78,0.9,5.68,High,11.1,67.6,3,Neutral,No,3.28,6000,45,Male,21.4,Poor
7.18,21.45,4.63,Moderate,113.9,141.7,0,Neutral,Yes,2.01,5784,56,Male,17.1,Good
6.89,23.16,6.05,Moderate,28.8,103.3,0,Sad,No,3.61,8461,60,Male,22.0,Good
6.83,21.74,4.57,High,74.4,147.0,9,Happy,No,1.06,5034,49,Female,19.5,Average
6.95,20.8,3.75,Moderate,3.8,103.0,4,Neutral,No,2.01,7572,30,Female,24.3,Average
5.62,0.31,5.93,Low,12.0,37.9,1,Happy,No,2.09,5933,32,Male,21.2,Average
6.8,0.64,7.44,Moderate,20.2,30.0,5,Sad,No,2.17,8104,35,Male,27.4,Poor
6.88,22.64,5.52,None,2.0,20.2,6,Neutral,No,2.7,6517,56,Male,29.1,Average
5.57,20.0,1.57,Moderate,0.1,119.8,0,Neutral,Yes,4.58,4922,23,Female,25.9,Average
8.93,22.68,7.61,None,27.7,143.5,5,Happy,No,2.52,10316,28,Female,18.1,Good
7.12,0.09,7.21,Moderate,25.7,173.2,7,Neutral,Yes,2.22,7719,49,Female,28.8,Poor
4.95,21.28,2.23,None,13.2,127.9,4,Sad,Yes,1.43,6839,57,Female,29.0,Poor
7.35,23.78,7.13,None,16.8,142.3,6,Neutral,No,0.88,8260,37,Male,23.6,Average
5.23,23.48,4.71,None,13.4,63.9,9,Neutral,No,3.02,1986,50,Female,28.1,Poor
7.52,0.37,7.89,None,0.6,38.0,5,Neutral,No,1.82,13271,57,Female,21.6,Good
8.01,23.68,7.69,Moderate,10.2,128.3,3,Anxious,Yes,4.02,7074,25,Male,17.0,Average
5.43,22.04,3.47,Moderate,4.9,108.8,6,Neutral,Yes,2.81,1110,52,Male,20.8,Poor
7.75,1.29,9.04,Low,2.6,94.8,9,Sad,No,2.44,10591,22,Male,29.6,Average
7.04,23.26,6.3,None,78.5,107.4,8,Sad,No,2.48,4746,52,Female,18.3,Average
7.57,23.46,7.03,None,22.9,104.5,9,Neutral,Yes,2.48,10131,64,Male,23.5,Average
8.97,22.1,7.07,None,32.6,147.8,9,Happy,No,1.71,7365,31,Female,23.6,Good
6.18,22.84,5.02,None,9.5,148.3,6,Neutral,No,0.97,2289,38,Female,21.7,Poor
5.52,22.17,3.69,High,12.5,114.5,4,Sad,No,1.81,7784,64,Female,21.9,Poor
5.34,23.24,4.58,None,6.8,128.1,6,Happy,No,2.19,7563,41,Female,23.8,Average
5.44,2.0,7.44,Low,2.5,113.1,2,Neutral,No,1.75,10455,34,Male,21.5,Average
6.4,21.44,3.84,None,4.9,69.2,1,Sad,No,1.3,8566,35,Male,18.5,Average
6.94,21.08,4.02,None,39.9,124.0,10,Neutral,No,1.68,3282,51,Female,24.3,Average
6.86,1.71,8.57,Low,28.3,27.2,4,Neutral,Yes,2.93,10007,29,Male,27.3,Average
7.58,23.19,6.77,Moderate,19.8,137.4,3,Happy,No,2.72,5758,33,Female,26.5,Good
6.52,22.5,5.02,None,16.1,36.2,4,Happy,No,2.32,12161,21,Female,20.7,Good
8.39,1.06,9.45,None,63.9,102.9,7,Sad,No,2.61,5936,42,Male,19.1,Good
6.16,22.59,4.75,Low,1.9,52.0,3,Happy,No,1.41,6366,51,Male,22.5,Average
10.0,2.0,12.0,None,8.2,114.9,8,Happy,Yes,1.64,4534,45,Female,29.0,Good
7.31,0.52,7.83,None,10.8,88.5,6,Anxious,Yes,2.42,5504,63,Male,25.8,Poor
5.39,22.77,4.16,High,38.1,18.2,9,Happy,No,1.5,4711,28,Female,26.0,Poor
5.11,2.0,7.11,Moderate,120.0,108.9,6,Anxious,No,2.28,10529,30,Male,26.6,Poor
7.13,22.59,5.72,Moderate,6.9,64.0,7,Anxious,Yes,1.32,3005,48,Female,25.0,Average
6.21,0.61,6.82,Low,51.8,129.7,5,Happy,No,1.05,9414,42,Female,23.9,Average
7.43,23.95,7.38,Low,44.4,90.1,7,Happy,No,2.72,9486,56,Male,25.8,Good
7.12,1.45,8.57,Low,6.4,107.8,2,Sad,No,2.92,11133,27,Male,21.6,Good
6.41,1.84,8.25,Moderate,12.7,46.9,9,Neutral,No,1.76,7131,41,Female,18.5,Average
5.4,23.55,4.95,Moderate,13.2,63.5,9,Happy,No,1.14,3920,18,Male,26.0,Poor
4.53,22.37,2.9,None,95.7,69.4,0,Sad,No,0.65,6485,42,Male,27.8,Good
5.92,0.19,6.11,Low,5.0,128.6,5,Happy,No,3.49,8784,45,Female,19.6,Average
7.61,22.48,6.09,Low,40.1,165.5,0,Anxious,Yes,2.28,7254,53,Female,26.4,Good
6.78,2.0,8.78,High,10.2,53.8,8,Happy,Yes,1.77,8100,35,Male,29.4,Poor
4.88,23.7,4.58,Moderate,32.8,138.5,1,Happy,Yes,1.95,11096,23,Male,23.5,Poor
6.73,22.95,5.68,Low,13.6,0.0,10,Happy,No,0.86,8746,19,Female,20.6,Average
7.0,23.78,6.78,None,21.6,36.3,1,Anxious,Yes,2.63,7595,20,Female,23.9,Good
5.35,21.48,2.83,Moderate,44.7,46.9,6,Neutral,Yes,3.6,1467,63,Female,21.6,Poor
6.7,22.04,4.74,None,40.8,29.1,1,Sad,No,1.65,4648,25,Female,21.3,Good
6.58,1.3,7.88,Low,50.3,18.7,9,Neutral,Yes,3.87,5786,48,Female,25.0,Poor
5.01,22.51,3.52,None,1.5,108.6,7,Happy,Yes,2.12,1069,36,Female,17.9,Poor
6.97,21.93,4.9,Moderate,29.4,80.4,5,Happy,Yes,3.37,3672,23,Female,18.4,Good
7.23,0.3,7.53,None,3.8,107.1,6,Neutral,No,2.42,6195,31,Female,23.6,Good
7.91,1.28,9.19,Low,13.4,121.1,6,Neutral,Yes,2.41,6683,20,Male,23.4,Good
7.87,0.58,8.45,High,19.9,102.0,5,Neutral,No,3.49,8517,18,Male,24.7,Average
4.71,0.99,5.7,None,12.9,119.6,9,Happy,No,2.75,6384,61,Male,30.1,Poor
5.28,22.36,3.64,Low,18.3,86.9,10,Anxious,No,2.46,7744,47,Female,23.9,Poor
7.17,21.37,4.54,Low,120.0,36.6,8,Happy,No,0.84,5747,63,Male,25.6,Good
7.17,1.75,8.92,None,3.6,137.6,8,Anxious,No,1.14,7126,36,Female,20.1,Average
7.17,23.02,6.19,Moderate,28.1,63.5,6,Happy,Yes,2.52,8353,36,Male,26.2,Good
10.0,23.12,9.12,None,12.6,47.9,8,Neutral,Yes,3.23,11418,26,Female,21.7,Average
7.24,1.49,8.73,Low,3.6,82.0,9,Happy,Yes,2.29,5456,24,Female,23.7,Poor
7.98,0.33,8.31,Moderate,4.3,48.9,2,Neutral,Yes,1.79,7433,63,Male,23.1,Good
7.74,0.18,7.92,Moderate,74.5,71.2,2,Neutral,Yes,0.91,9607,54,Female,27.1,Good
7.35,2.0,9.35,Moderate,52.9,105.5,0,Neutral,Yes,1.65,2681,58,Male,18.9,Good
6.09,22.53,4.62,Low,59.4,105.7,4,Neutral,No,2.29,12993,24,Male,15.5,Average
7.49,0.89,8.38,None,119.3,49.6,3,Sad,No,1.6,10537,26,Male,22.8,Good
5.5,23.59,5.09,Moderate,5.8,68.1,1,Neutral,No,1.52,1866,21,Male,25.1,Average
6.19,23.9,6.09,Low,11.0,138.3,8,Sad,No,2.16,8114,42,Male,24.0,Average
5.87,1.79,7.66,Moderate,27.7,112.3,2,Happy,Yes,3.21,5307,29,Male,27.8,Average
6.61,0.26,6.87,Moderate,16.5,183.4,7,Neutral,Yes,2.68,5808,23,Male,25.0,Average
9.51,0.31,9.82,Moderate,13.5,143.1,5,Neutral,No,2.4,8052,35,Male,21.5,Good
4.07,1.11,5.18,Low,11.1,141.5,4,Neutral,Yes,2.33,10151,57,Male,15.4,Poor
7.39,22.95,6.34,Low,22.5,27.5,0,Neutral,Yes,2.59,5602,38,Female,22.7,Good
4.4,22.24,2.64,Moderate,21.4,124.4,3,Happy,No,2.12,5643,32,Female,27.1,Poor
5.89,21.93,3.82,Low,4.4,87.6,2,Happy,No,1.91,8117,20,Male,22.1,Good
7.92,20.55,4.47,None,16.0,65.2,0,Happy,No,2.72,8716,19,Female,23.6,Good
6.58,2.0,8.58,High,20.2,97.6,4,Happy,Yes,2.04,3979,58,Female,25.0,Average
5.1,21.85,2.95,High,21.1,132.5,5,Neutral,No,1.37,12171,57,Male,19.9,Average
5.57,23.17,4.74,Low,5.9,112.5,1,Neutral,No,3.21,5070,21,Male,25.7,Average
7.38,23.08,6.46,None,33.9,50.5,2,Anxious,No,0.89,9894,49,Female,29.2,Good
5.55,23.96,5.51,Low,0.6,123.4,10,Sad,No,3.26,8355,19,Male,22.9,Poor
6.78,0.72,7.5,Moderate,11.0,61.3,5,Happy,No,2.55,8819,63,Male,19.5,Good
6.56,0.79,7.35,High,37.9,99.8,3,Anxious,Yes,1.52,5128,46,Male,23.3,Average
5.65,22.63,4.28,None,20.7,76.3,8,Anxious,No,2.22,1828,19,Female,15.7,Poor
9.29,23.25,8.54,None,7.6,80.2,4,Neutral,No,1.9,6936,51,Male,24.7,Good
7.32,23.92,7.24,High,29.7,124.5,3,Neutral,No,2.77,6948,44,Female,25.1,Average
3.87,23.13,3.0,Low,20.9,43.2,1,Anxious,No,2.75,4126,56,Male,29.4,Poor
6.74,1.91,8.65,Low,39.8,177.5,5,Neutral,No,2.52,9754,61,Male,22.8,Good
5.64,0.24,5.88,High,33.2,8.1,9,Anxious,No,2.72,6845,55,Female,24.9,Poor
7.61,0.6,8.21,None,23.5,63.1,1,Happy,No,2.12,4573,35,Male,20.5,Good
5.47,0.49,5.96,Moderate,16.7,106.7,6,Happy,No,3.43,8755,53,Female,22.3,Average
6.35,1.26,7.61,None,3.6,116.3,2,Neutral,No,3.06,8835,36,Female,18.2,Average
7.16,23.77,6.93,Low,7.6,85.5,8,Neutral,Yes,1.87,4851,44,Male,22.8,Average
7.63,21.55,5.18,Moderate,13.6,87.4,10,Sad,Yes,2.77,10700,62,Male,22.4,Average
4.94,0.1,5.04,Low,22.9,108.5,4,Anxious,No,2.71,13730,37,Female,24.5,Average
6.07,22.52,4.59,High,18.0,79.6,7,Neutral,No,2.02,3730,38,Female,21.3,Average
5.88,22.71,4.59,Moderate,8.5,152.7,10,Happy,No,1.96,6449,40,Male,23.8,Poor
5.65,0.38,6.03,Low,0.2,127.8,5,Sad,No,3.05,8011,47,Male,22.3,Poor
8.8,1.36,10.16,None,17.1,129.3,9,Neutral,Yes,2.19,13841,42,Male,22.3,Average
7.03,23.53,6.56,Low,8.4,46.5,7,Happy,Yes,2.38,4799,48,Male,23.8,Average
4.86,23.96,4.82,Low,33.2,86.4,10,Neutral,No,3.18,4181,44,Male,23.6,Poor
7.69,2.0,9.69,None,0.6,76.5,2,Sad,Yes,3.97,4161,51,Female,26.2,Average
9.26,23.86,9.12,Low,22.0,44.7,2,Sad,No,1.83,10664,25,Female,23.1,Good
7.84,2.0,9.84,Low,71.0,106.2,4,Neutral,Yes,2.05,4877,36,Female,22.3,Good
4.52,0.35,4.87,Moderate,4.8,65.8,10,Happy,Yes,2.25,4450,58,Female,22.9,Poor
5.87,20.86,2.73,Moderate,15.9,119.5,9,Anxious,No,2.27,7693,43,Male,21.0,Average
8.15,0.63,8.78,Moderate,2.4,41.8,2,Neutral,No,2.46,7925,45,Female,22.2,Good
5.58,0.07,5.65,None,24.6,167.4,7,Neutral,No,1.86,10213,21,Male,30.6,Poor
7.08,1.43,8.51,None,20.0,49.7,9,Happy,Yes,1.31,7276,48,Male,20.3,Average
7.51,0.51,8.02,Moderate,13.1,99.9,7,Sad,No,3.43,7747,33,Male,22.5,Average
5.29,23.29,4.58,Low,18.4,125.6,1,Happy,No,2.63,6684,27,Male,22.1,Good
6.42,21.66,4.08,None,56.7,64.3,3,Happy,No,1.91,3087,55,Male,22.6,Good
3.0,23.19,2.19,Moderate,5.5,128.4,9,Neutral,No,2.51,6401,27,Female,22.3,Poor
5.17,22.22,3.39,Moderate,0.6,34.7,0,Happy,Yes,3.48,7189,62,Male,24.5,Poor
6.17,22.63,4.8,Low,49.5,155.3,3,Neutral,No,1.65,5669,26,Male,17.5,Average
4.88,0.38,5.26,None,21.5,90.6,10,Happy,No,2.35,2307,56,Male,27.1,Poor
8.62,2.0,10.62,Moderate,55.3,63.2,3,Neutral,No,1.23,3595,53,Female,25.7,Good
